,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1900-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1900-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1901-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1902-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1903-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
